pre_root_id,post_root_id,activity
720575940628673474,720575940619900507,0.3462776
720575940628673474,720575940622688765,0.036198974
720575940628673474,720575940629595633,0.47849464
720575940628673474,720575940611018865,0.7797158
720575940628673474,720575940639813365,0.90124786
720575940628673474,720575940608239371,0.12438643
720575940628673474,720575940627916331,0.16927159
720575940628673474,720575940641366517,0.47237825
720575940628673474,720575940616616861,0.31755602
720575940628673474,720575940620553094,0.84558177
720575940628673474,720575940637788137,0.48012495
720575940628673474,720575940631619948,0.7862468
720575940628673474,720575940628530961,0.85837674
720575940628673474,720575940617476379,0.29550636
720575940628673474,720575940616921152,0.14820981
720575940628673474,720575940624928284,0.87911296
720575940628673474,720575940626017960,0.8425112
720575940628673474,720575940616217403,0.5839795
720575940628673474,720575940632900503,0.94973993
720575940628673474,720575940633156799,0.861084
720575940628673474,720575940631106664,0.70735645
720575940628673474,720575940630664556,0.91831446
720575940628673474,720575940628683063,0.5547397
720575940628673474,720575940629317450,0.7766149
720575940628673474,720575940619900507,0.58118427
720575940628673474,720575940630697078,0.5208224
720575940628673474,720575940616777105,0.13998103
720575940628673474,720575940622123144,0.8060043
720575940628673474,720575940630059052,0.2384175
720575940628673474,720575940619111515,0.6704409
720575940628673474,720575940605976521,0.10393262
720575940628673474,720575940614714514,0.112534404
720575940628673474,720575940613133718,0.53803134
720575940628673474,720575940614635175,0.4098878
720575940628673474,720575940628325242,0.812297
720575940628673474,720575940627254856,0.25339615
720575940628673474,720575940631284511,0.2506889
720575940628673474,720575940616791709,0.23235488
720575940628673474,720575940631144109,0.33679843
720575940628673474,720575940617497413,0.1091578
720575940628673474,720575940628386295,0.23205876
720575940628673474,720575940621736669,0.62437797
720575940628673474,720575940623029395,0.8300669
720575940628673474,720575940623834300,0.5810665
720575940628673474,720575940631619948,0.50740814
720575940628673474,720575940637165028,0.7860218
720575940628673474,720575940624273149,0.9558042
720575940628673474,720575940621957381,0.3820685
720575940628673474,720575940633518176,0.9281417
720575940628673474,720575940626476305,0.6830369
720575940628673474,720575940634788247,0.85030544
720575940628673474,720575940624273149,0.28116715
720575940628673474,720575940631284511,0.48968196
720575940628673474,720575940612738197,0.3383454
720575940628673474,720575940648708228,0.078656316
720575940628673474,720575940617121819,0.2251091
720575940628673474,720575940610079957,0.88504326
720575940628673474,720575940634090777,0.19526422
720575940628673474,720575940608239371,0.0109090805
720575940628673474,720575940621256384,0.16743898
720575940628673474,720575940616921152,0.32176566
720575940628673474,720575940637216624,0.28520238
720575940628673474,720575940614635175,0.24338567
720575940628673474,720575940646663044,0.57012475
720575940628673474,720575940638557312,0.4992777
720575940628673474,720575940632636959,0.65161693
720575940628673474,720575940633521828,0.97543657
720575940628673474,720575940621149709,0.2364353
720575940628673474,720575940638608803,0.30405772
720575940628673474,720575940627254856,0.8177439
720575940628673474,720575940624253991,0.118365526
720575940628673474,720575940624928284,0.07171023
720575940628673474,720575940623834300,0.7650418
720575940628673474,720575940648708228,0.9451618
720575940628673474,720575940619128699,0.29161286
720575940628673474,720575940611475698,0.12020993
720575940628673474,720575940616562150,0.43192172
